0:[1]    # dpts=[0]
1:[0,0]    # dpts=[0,1]
2:[0,1,0]    # dpts=[0,1,2]
3:[0,1,0,0]    # dpts=[0,1,2,3]
4:[0,0,1,0,0]    # dpts=[0,1,2,3,4]
5:[0,0,2,0,0,0]    # dpts=[0,1,2,3,4,5]
6:[0,0,1,1,0,0,0]    # dpts=[0,1,2,3,4,5,6]
7:[0,0,0,3,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7]
8:[0,0,0,3,1,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8]
9:[0,0,0,1,4,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9]
10:[0,0,0,0,6,1,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10]
11:[0,0,0,0,4,5,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11]
12:[0,0,0,0,1,10,1,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12]
13:[0,0,0,0,0,10,6,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13]
14:[0,0,0,0,0,5,15,1,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]
15:[0,0,0,0,0,1,20,7,0,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
16:[0,0,0,0,0,0,15,21,1,0,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
17:[0,0,0,0,0,0,6,35,8,0,0,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]
18:[0,0,0,0,0,0,1,35,28,1,0,0,0,0,0,0,0,0,0]    # dpts=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]
